rank,country,bags,tons,pounds
1,Brazil,44200000,2652000,5714381000
2,Vietnam,27500000,1650000,3637627000
3,Colombia,13500000,810000,1785744000
4,Indonesia,11000000,660000,1455050000
5,Honduras,9600000,580000,1278681000
6,Ethiopia,6400000,384000,846575000
7,India,5800000,348000,767208000
8,Uganda,4800000,288000,634931000
9,Mexico,3900000,234000,515881000
10,Guatemala,3400000,204000,449743000
11,Peru,3200000,192000,423287000
12,Nicaragua,2200000,132000,291010000
13,China,1947000,116820,257544000
14,Ivory Coast,1800000,108000,238099000
15,Costa Rica,1492000,89520,197357000
16,Kenya,833000,49980,110187000
17,Papua New Guinea,800000,48000,105821000
18,Tanzania,800000,48000,105821000
19,El Salvador,762000,45720,100795000
20,Ecuador,700000,42000,92594000
21,Cameroon,570000,34200,75398000
22,Laos,520000,31200,68784000
23,Madagascar,520000,31200,68784000
24,Gabon,500000,30000,66138000
25,Thailand,500000,30000,66138000
26,Venezuela,500000,30000,66138000
27,Dominican Republic,400000,24000,52910000
28,Haiti,350000,21000,46297000
29,Democratic Republic of the Congo,335000,20100,44312000
30,Rwanda,250000,15000,33069000
31,Burundi,200000,12000,26455000
32,Philippines,200000,12000,26455000
33,Togo,200000,12000,26455000
34,Guinea,160000,9600,21164000
35,Yemen,120000,7200,15873000
36,Cuba,100000,6000,13227000
37,Panama,100000,6000,13227000
38,Bolivia,90000,5400,11904000
39,Timor-Leste,80000,4800,10582000
40,Central African Republic,65000,3900,8598000
41,Nigeria,40000,2400,5291000
42,Ghana,37000,2220,4894000
43,Sierra Leone,36000,2160,4761000
44,Angola,35000,2100,4629000
45,Jamaica,21000,1260,2777000
46,Paraguay,20000,1200,2645000
47,Malawi,16000,960,2116000
48,Trinidad and Tobago,12000,720,1587000
49,Zimbabwe,10000,600,1322000
50,Liberia,6000,360,793000
